Source,Target,RelationType,ConfidenceLevel,ReferenceSummary,SourceURL
AAPL,MSFT,Competitor,High,"Apple and Microsoft compete across a huge range of software, hardware, and other tech sub-industries​investopedia.com.",https://www.investopedia.com/articles/markets/111015/apple-vs-microsoft-vs-google-how-their-business-models-compare.asp
AAPL,GOOGL,Competitor,High,Apple and Google dominate mobile operating systems and app ecosystems (iOS vs Android)​reuters.com.,https://www.reuters.com/technology/uk-investigate-apple-googles-mobile-ecosystems-2025-01-23/
AAPL,GOOGL,StrategicPartner,High,Google pays Apple an estimated $20 billion+ per year to be the default search engine on Apple devices​reuters.com.,https://www.reuters.com/technology/apple-seeks-defend-googles-billion-dollar-payments-search-case-2024-12-24/
AAPL,GS,StrategicPartner,High,"Apple partnered with Goldman Sachs to launch the Apple Card credit card, with Goldman as the issuing bank​goldmansachs.com.",https://www.goldmansachs.com/our-firm/history/moments/2019-apple-card
AAPL,MA,StrategicPartner,High,Apple Card also runs on Mastercard’s payments network under Apple’s partnership with Mastercard​apple.com.,https://www.apple.com/newsroom/2019/03/introducing-apple-card-a-new-kind-of-credit-card-created-by-apple/
AMZN,MSFT,Competitor,High,Amazon Web Services and Microsoft Azure compete as leading cloud computing platforms​reuters.com.,https://www.reuters.com/technology/google-steps-up-microsoft-criticism-warns-rivals-monopoly-cloud-2024-02-26/
AMZN,GOOGL,Competitor,High,Amazon’s AWS and Google Cloud vie for enterprise cloud market share (alongside Azure)​reuters.com.,https://www.reuters.com/technology/google-steps-up-microsoft-criticism-warns-rivals-monopoly-cloud-2024-02-26/
ORCL,MSFT,Competitor,High,"Oracle competes with cloud heavyweights like Microsoft and Amazon, which have a much larger presence in cloud services​reuters.com.",https://www.reuters.com/technology/oracle-misses-second-quarter-revenue-estimates-2024-12-09/
AMD,INTC,Competitor,High,Advanced Micro Devices (AMD) and Intel are fierce rivals in PC and server processors​reuters.com.,https://www.reuters.com/technology/intel-battles-amd-with-new-data-center-chips-2024-06-04/
AMD,NVDA,Competitor,High,AMD faces intense competition from Nvidia (the GPU and AI chip leader) in graphics and AI processors​reuters.com.,https://www.reuters.com/technology/amd-introduces-ai-chips-business-laptops-desktops-2024-04-16/
GOOGL,META,Competitor,High,"Google and Meta (Facebook) form a digital advertising duopoly, together long dominating online ad spending​reuters.com.",https://www.reuters.com/article/technology/google-facebook-show-power-of-ad-duopoly-as-rivals-stumble-idUSKBN1AD1ZV
MSFT,META,StrategicPartner,High,"Microsoft and Meta have partnered to integrate Microsoft’s Teams, Office, Windows and other services into Meta’s VR platforms​blogs.microsoft.com.",https://blogs.microsoft.com/blog/2022/10/11/microsoft-and-meta-partner-to-deliver-immersive-experiences-for-the-future-of-work-and-play/
NFLX,DIS,Competitor,High,"Netflix and Disney+ compete head-to-head in the streaming video market, each vying for subscribers​reuters.com.",https://www.reuters.com/technology/disney-tops-netflix-streaming-subscribers-raises-prices-ad-free-options-2022-08-10/
NFLX,AMZN,Competitor,High,Netflix and Amazon Prime Video both compete in streaming content (and have even expanded into live sports streaming)​reuters.com.,https://www.reuters.com/business/media-telecom/amazon-prime-video-shifts-focus-live-sports-boost-profits-information-reports-2025-01-24/
T,VZ,Competitor,High,AT&T and Verizon are the two largest U.S. wireless carriers and longstanding direct rivals in telecommunications​reuters.com.,https://www.reuters.com/article/technology/verizon-ceo-touts-wireless-beyond-the-phone-idUSBRE9060OU/
UNH,CVS,Competitor,High,"UnitedHealth Group and CVS Health (which owns Aetna) are among the biggest health insurers, competing closely in insurance and health services​ama-assn.org.",https://www.ama-assn.org/press-center/press-releases/ama-identifies-market-leaders-health-insurance
CVS,WBA,Competitor,High,"CVS Health and Walgreens Boots Alliance are the two largest U.S. pharmacy chains, competing nationally in retail pharmacy and healthcare services​reuters.com.",https://www.reuters.com/world/us/cvs-walgreens-begin-dispensing-abortion-pill-this-month-nyt-2024-03-01/
WMT,AMZN,Competitor,High,Walmart (the world’s largest retailer) has invested in e-commerce and advertising to challenge Amazon’s retail and media dominance​reuters.com.,https://www.reuters.com/business/retail-consumer/walmart-plans-big-push-challenge-amazon-advertising-2021-01-28/
WMT,TGT,Competitor,High,"Walmart and Target are the two biggest U.S. general merchandise retailers, often competing for overlapping customer bases​reuters.com.",https://www.reuters.com/business/retail-consumer/amazon-results-could-bode-well-rival-retailers-walmart-target-2023-08-07/
COST,WMT,Competitor,Medium,"Costco and Walmart (via Sam’s Club) both vie for consumer retail spend, though Costco’s membership model targets more affluent shoppers​reuters.com.",https://www.reuters.com/article/business/costco-ties-up-with-citigroup-visa-for-u-s-co-branded-cards-idUSL4N0W44LV/
HD,LOW,Competitor,High,Home Depot and Lowe’s are direct competitors as the top two U.S. home improvement retail chains​reuters.com.,https://www.reuters.com/business/retail-consumer/lowes-cuts-annual-forecasts-weak-home-improvement-demand-2024-08-20/
TSLA,GM,Competitor,High,Tesla is the U.S. EV market leader while legacy automaker GM is investing heavily to catch up in electric vehicle sales​reuters.com.,https://www.reuters.com/business/autos-transportation/gms-electric-gains-face-critical-test-trump-targets-ev-subsidies-2025-02-28/
TSLA,F,Competitor,High,Tesla’s dominance in EVs has Ford racing to expand its own electric lineup; Ford has been a top contender for #2 U.S. EV maker behind Tesla​reuters.com.,https://www.reuters.com/business/autos-transportation/gms-electric-gains-face-critical-test-trump-targets-ev-subsidies-2025-02-28/
KO,PEP,Competitor,High,"Coca-Cola and PepsiCo have waged a decades-long “cola war,” competing fiercely for global soft drink market share​reuters.com.",https://www.reuters.com/article/business/cokes-north-american-sales-rise-fuels-market-share-gains-over-pepsi-idUSKBN1CU1GR
FDX,UPS,Competitor,High,"FedEx and UPS are bitter rivals in the parcel delivery industry, often battling for market share and major logistics contracts​reuters.com.",https://www.reuters.com/video/watch/idRW201001042024RP1
FDX,AMZN,FormerRelationship,High,"FedEx long handled deliveries for Amazon, but by 2019 FedEx ended its ground and air contracts as Amazon built its own courier network – turning a former client into a competitor​reuters.com.",https://www.reuters.com/article/technology/fedex-ends-ground-delivery-partnership-with-amazon-idUSKCN1UX1DQ/
GS,MS,Competitor,High,"Goldman Sachs and Morgan Stanley are archrivals on Wall Street, competing for dominance in investment banking and trading​reuters.com.",https://www.reuters.com/article/markets/stocks/morgan-stanley-bests-goldman-in-profit-and-revenue-idUSNOA135536/
V,MA,Competitor,High,Visa (the largest payment network) and its closest rival Mastercard operate a global duopoly in card payment processing​reuters.com.,https://www.reuters.com/business/finance/visa-mastercard-extend-non-eu-card-fee-caps-2029-eu-says-2024-07-05/
